2075	2678	3444	3657	3693			
2963	3444	833					
1750	2075	3444					
1711	183	1960					
183	2075	2678	4506				
1718	183	3443					
182	183	184	4493				
183	544	546					
1529	2827	449	549				
2827	449	542	543	544	549		
1529	2827	449	4506	4770	662		
2697	2827	449	4770	543	544		
2531	2676	2827	449	4770			
2530	2827	396	449				
184	3443	396	449				
1708	184	449	992				
184	2676	449	992				
1529	2678	449	4506	4770			
2191	2828	3693	449				
1529	2191	3443	449	662			
2676	2967	3138	449	825			
3138	449	546	825				
1533	2962	2963	449	662			
2051	2963	449	546				
1442	2828	405	449				
3138	449	541					
1955	2967	449					
1751	2966	449					
2965	449	4770					
1442	2697	449	4770				
1442	1605	449					
1446	1719	3138	449				
1708	2530	3655	3692	449			
3138	3443	449	4770				
449	4614	4619					
1599	449	544					
1718	2531	2828	396	405			
1529	1718	2191	4506				
1718	1719	2828	2965				
1718	1719	3658					
1718	2530	3655	3656	3692			
1443	2961	3656					
2961	2962	2963	2965				
2679	2828	405					
178	2678	2679					
2679	4506	4770	662				
1710	400	832	834				
2676	400	406	832	834			
1599	400	406	834				
1446	832	833	834				
1608	178	4510					
1608	2678	536					
1608	3694	3697	545				
1608	2191	2676					
1304	1712	4919					
1955	4919	4920					
1749	1750	1751	405				
1749	1750	1751	1752	1755			
1304	1444	2962	3657				
1384	2829	2963	3657				
1606	2829	3657					
2075	2678	3461	3657				
2075	2678	3657	406	4920			
2075	2678	3137	3657	4920			
2678	2962	3137	3657				
1444	2963	3657	3693	406			
1749	1755	3698					
2075	3698	4913					
1443	2441	3698	536				
1304	1411	3698	536				
1384	2678	3698					
3693	3697	3698					
3692	406	833					
1409	1752	1960	3658	966			
1446	1752	1960	3658	966			
1446	182	400					
182	2441	4913					
1303	182	4913					
1529	1533	1711					
1709	1710	1711	836				
1711	3658	396	966				
1708	1709	1710	1711	3957			
1711	3656	3658	782	783			
3139	3140	3141	3144	3145	3146	4074	5258
4074	992	996					
3140	3141	3146	4074	5257	5258		
3140	3141	3146	4073	4074	5258		
1446	3461	662					
186	187	2075	2829				
2825	2826	2827	2828	2829	400	4510	
1509	2829	545					
1955	2531	406					
1605	2531	406					
2825	4510	4710	4788	5845			
2442	3694	4439	4788				
2442	2825	3652	4788	5845			
2075	2678	4788					
3694	4439	4788	830				
186	187	2074	2075	2076			
3137	3138	3139	3140	3141			
186	187	2076	2825	400	4510		
186	187	2076	2825	3652	4510	5845	
1443	1444	186	187	2076	4710		
1443	1444	186	187	2076	3652		
1443	186	187	2076	4616			
186	187	2076	4912				
2075	2664	507					
1511	2664	2962	2963	507			
2664	2962	4073	507	825			
2962	2963	4073	4913	662			
4073	506	507					
1410	1610	3136	662				
1303	1752	400					
1303	2442	9407					
1303	1450	662					
1450	1511	3830					
3957	4073	662					
1752	396	4770	782				
1752	3655	396	782				
1708	546	782					
1708	2530	3692	782	783			
1719	2531	782					
1529	3443	4770	782				
1529	1530	1532	1533				
2825	2826	2827	2828	400	403	4510	
2825	4510	536					
2825	4510	5375					
2678	536	541					
178	3693	3694					
1719	2965	966					
1442	825	966					
2531	3443	396	966				
1533	2531	3651					
3651	4619	546					
1710	3693	541					
1709	1710	4710	830				
1709	1710	3652	830				
3693	3694	3695	3696				
2963	3694	545					
1411	3694	4616	832				
3694	541	545					
2530	3655	3656	3692	3694			
542	543	544	545	546	549		
3654	3655	3656	4710				
3652	3654	3655	3656				
2441	2442	5845					
1722	4614	4616					
1533	1755	2531	396				
1304	1712	3693					
2442	5306	9407					
1446	1719	836					
5254	5257	5258					
3144	3145	3146	4426				
2664	4074	507					
3692	396	783					
2697	543	549					
