1287	1657	2272													
1172	1657	2284	2829	525											
1657	1660	2284	3866	526											
1657	1660	1860	2270	3270											
1657	1660	2270	2284	3866	4506	523									
1657	2270	2284	3137	523											
2270	2272	3246	4506												
1172	2829	522	524												
1172	11724	2289	522	524											
1172	11724	1655	524												
1172	2268	3260	524												
1172	1660	3270	519												
1172	2272	3206													
1304	1928	3270													
2269	2270	2271	2272												
2272	3266	653													
2272	2322	2828	3206												
2272	2322	3206	653												
1169	1170	1660	1860	3866	912										
1169	11724	1660	2270												
1045	1169	521													
1169	1655	1660	1860	2829	526										
1169	1655	1660	1860	526	912										
1169	13843	1655	652												
524	525	526	527	528											
13843	1655	526	5652												
2829	3267	526													
2270	3246	3268													
2271	3137	3250	523												
3137	3138	3139	3140	3141	3142										
1656	2949	2950													
3248	3249	5053													
3246	3248	3249	3266												
1925	3246	3248	3249												
519	520	521	522	523											
2950	3246	650													
2828	3246	650													
3138	3246	527													
1355	2484	3246													
3216	4107	4108	4109												
1655	1928	9466													
1655	521	9466													
17803	2268	3260													
13843	2268	522	524												
2268	2271	527													
2268	5053	522													
1303	13843	522													
1167	3150	4469													
2305	4958	650													
1045	1170	1860	2305												
1044	2305	3203	3267												
1045	2305	3250													
2305	3140	3141	3142	3146	3147	3148	3149	3582	3732	5257	5258	5260	8122		
2305	3139	3140	3141	3142	3144	3145	3146	3147	3148	3149	3582	3732	5258	5259	5260
2305	3139	3140	3141	3142	3144	3145	3146	3147	3148	3149	3582	3732	5258	6051	8122
2305	3142	3148	3149	3266	3582	3732	5260								
2305	3142	3148	3149	3266	3582	3732	6051								
1355	2271	3867													
1153	3224	520													
1044	1153	520													
1304	3251	4939													
3344	3866	3867													
1044	3203	3267	3867												
1926	3867	528													
3146	3148	3150													
1044	1045	3150													
1928	1929	2323													
1152	2949	3335													
1045	1152	1860													
1153	2484	653													
650	651	652													
1926	2322	528	652												
1303	3259	5652													
1926	4958	528													
1926	3266	528													
3264	3267	3268													
2949	3203	3267													
1153	1355	650													
1153	1355	5257													
1153	1355	3139	3144	3145											
5254	5257	5258	5259	5260											
5254	5257	5258	6051	8122											
1305	3149	6051													
3144	3145	3146	3147	4426											
4469	4470	4471	4472												
