3693	3697	3698			
1450	193	3698			
2458	3436	9731			
1443	2458	9731			
1955	4919	4920			
3693	3694	3695	3696		
2461	3009	3693			
1444	3009	3693			
1709	1710	4913			
1722	1738	4634			
1738	20661	3687			
1444	1738	3413			
192	193	2900			
20661	2900	3430	3431		
20661	243	2459	2507	3430	4919
243	3437	3687	3694	3697	
1371	1608	243			
1608	243	2459	2507		
1608	243	3413	3687	3694	
1608	243	3413	3431	3687	
1718	243	244	245		
195	3430	3432			
1708	1709	1710	1711	3957	
1367	3009	3431			
2207	2458	2459	2460	2461	2507
1371	2460	3688			
1446	2461	3008			
1718	1719	2461			
1368	1369	1371	1444		
1369	1371	1446			
1368	1369	1371	1712	4919	
1367	1368	1369			
1718	245	3692			
3413	3414	3418			
2207	2459	2461			
