153	3316	3957						
1102	153	5239						
153	1710	1717						
1102	1443	3302						
1102	1712	4919						
150	5239	5889						
1716	5235	5239						
1709	3527	3669	3957					
1708	1709	1710	1711	3957				
1440	1710	3150	3957					
1436	1710	1717						
1709	1710	1717	4913					
1709	1717	3302						
248	5250	5251						
1443	1642	3527						
1439	1443	5235						
1439	1443	3936	7667					
1438	1439	1642	3315	3515	3936	3956	4284	
1438	1439	1642	3150	3315	3515	3936	4913	
1439	1440	1441	1642	3315	3515	3935	3936	
1447	1450	152	3315					
1447	152	1710	2006	3150	3315			
1438	1440	152	1709	3315	4284			
1447	152	1962	2006	3315				
152	1599	3315						
152	3315	3872	7665					
152	2477	3315	7665					
1482	152	2006	3315	7665				
1440	152	2006	3147	3315				
1447	152	1718	2006	3315				
1439	1447	152	2006	250	3150	3315	3515	
1439	152	1708	3315	3936	4284			
1436	1439	1440	152	2006	3150	3315	3936	
1439	152	3315	3515	3935	3936	4913		
1438	1439	1441	152	3315	3515	3936	3956	
1439	1440	1441	152	2006	3150	3315	3515	3936
1436	1437	4748						
1437	4919	830						
1101	1437	3878	4919					
1437	1444	270						
3302	3303	4919						
1955	4919	4920						
247	270	4919						
1712	4919	7667						
1436	1442	1955	3879					
1955	2006	7665						
1712	1713	1714						
1712	270	2945						
1101	2945	3878						
1094	2945	832	834					
144	145	5234	5235					
144	5234	5235	5236					
144	1961	5235						
1716	3937	6015						
1713	1714	1715	1716					
1444	247	3933						
1090	1091	1094	1096	4544				
1642	3527	3669	836					
3527	3669	7665						
2006	271	3669						
1709	1710	1711	836					
1438	1440	1709	1710	1711				
1094	1710	832	834					
1094	2477	832	834					
1094	1599	834						
1446	832	833	834					
1446	1719	836						
1709	1710	830						
1094	1096	1097	4544					
1097	1961	3937						
3936	3937	3956	4284					
1439	3936	4284	7664					
3515	3934	3935	3936	3956	4284			
1482	2664	3150						
1442	3877	3879						
3872	3873	3874	3875	3876	4908			
1439	2006	272	3515	3936	4913			
1439	1447	2006	272	3515	3936			
272	3872	7665						
2477	272	825						
1442	3515	4913						
1442	2477	825						
3148	3149	7665						
1441	3148	3150						
1099	1100	1101						
1713	1719	7665						
1446	1719	270						
1713	3933	7666						
1099	1434	1713	7666					
1436	1439	3150	3879	3936				
1436	1439	1482	3936	7667				
1446	1447	1450						
3528	3933	833						
