1436	1437	4748							
1709	1710	4899							
1436	1439	3936	3956	662					
1436	2512	662							
1436	1442	1955							
1436	1440	1710							
3302	3303	4919							
1955	4919	4920							
1446	1450	662							
3936	3937	3956	4284						
1443	1444	2513							
1444	2514	3933							
1438	1440	1709	1710	1711					
1708	1709	1710	1711	3957					
1708	1709	1710	3670						
1438	1709	1710	4913						
1438	1439	1440	1441	3936	662				
1439	1440	3935	3936	4284	662				
1628	1708	1709	3668	3670	4284				
1116	1628	1709	3668	695					
1628	1630	1632	1709	3527	3669	996			
1439	1628	1708	3936	4284					
1116	1628	2222	360	3668					
1116	1441	1628	3668						
1628	360	3668	3670	695					
1628	1629	1630	1632	2256	3527	3669			
1626	1627	1628	1629	1630	1632	2600	3527	3669	996
1628	1629	2223	2259	3730					
1628	1629	1631	2259	2513					
1628	1629	1631	2600	3669	3670	996	997		
1626	1628	1629	1631	2600	3668	3669	3670	996	
1626	1627	1628	1629	1631	1632	2600	3668	3669	996
1116	1626	1628	1629	1631	2600	3668			
1628	1629	1631	2513	3528	3933				
1628	1629	1630	1631	3528					
2223	3730	4920							
4073	4074	4913							
1439	3935	3936	4913	662					
3957	4073	662							
1709	3527	3669	3957						
1117	1711	3730							
1712	2513	2945							
1955	2515	3730							
2222	2515	3670							
2257	2512	2515							
1116	2515	695							
1719	2257	2260							
2256	2257	2258							
1446	1719	2257							
2511	2512	2513							
1117	1955	2256							
360	3730	3731							
1630	1632	3731	992						
662	663	998							
662	663	993							
1718	190	663							
1434	1629	2223	2514	3730					
1629	2514	997							
4074	992	993	996	997					
1439	1441	3935	3936	3956	662				
1443	3730	3936							
1630	1632	3527	992	996	997				
1630	1632	1708	992						
1439	2256	3935	3936						
3934	3935	3936	3956	4284					
1439	1441	3670							
1439	3936	4074							
