17803	2825	4510	5561											
17803	3260	5561												
2825	2826	2827	400	403	4510									
2825	4510	4564												
1869	2080	2825	4510											
1869	2081	2825	3135	4510										
1868	1869	2825	4510											
3260	3559	746	747											
1834	2283	3260												
3259	3260	3439												
2436	3221	3222	3223											
1278	2025	3223	3717	645										
1278	2436	2437	3223											
11724	134	3223												
2025	3032	3223	3717											
1817	2827	3246	488											
1816	2080	444												
2079	2080	5228												
20420	2080	2367												
2080	3762	3764												
2079	2080	3764	840											
2080	2352	5053												
3727	3728	4564												
1102	4564	5053												
1102	11724	4564												
1816	1817	1869												
1823	1825	1869												
1278	1868	1869	2352											
1869	2352	3344												
1869	2352	3559	746	747										
1102	1103	1869												
1816	2081	3135	444											
2081	3135	3762												
2081	3133	3134	3135											
2081	2352	3135	5053	5172										
2081	3129	3135												
1834	2081	3135	840											
1834	2081	2367	3135											
1278	1279	1280												
11724	1278	444	6259											
1278	486	744												
1833	1834	1841												
1821	1822	1823	1824	1825	1826	1834	1841							
1832	1834	1841	2709											
1032	2283	3439												
2281	2282	2283												
1277	2079	3439												
2025	3270	3439	840											
1816	2435	4939												
1463	2710	406	4939											
2434	2435	3764	4939											
1032	486	4939												
2352	3560	3727	4562	746	747	841								
2352	2353	2356	3560	4268	746	747								
2352	3559	3560	4269	746	747									
2352	2354	3559	3560	746	747									
2350	2352	2353	2356	3560	4269									
2350	2352	3560	4562	5172										
1829	1840	2353	2424	3560	4268	746	747							
1828	1829	1840	2353	2354	3560	746	747							
1029	1840	3560	746	747										
3203	3259	3267	3560											
1065	1829	3030	3047	3221	3246	3268	3560							
1821	1822	1829	2436	3047	3560									
1464	1465	1822	1823	1829	3030	3031	3047	3134	3221	3268	3560	405	441	
1065	1100	1465	1822	1826	1829	3030	3031	3047	3134	3221	3268	3560	405	441
1065	1465	1822	1829	3030	3047	3134	3560	3763						
1465	1829	2436	3047	3134	3221	3266	3560							
1028	3203	3560	842											
1028	3031	3076	3221	3560	405	441								
1028	1822	3560	3763	841										
1028	3036	3203	3267	3560										
1028	1102	3203	3267	3560										
1028	3559	3560	3763	406										
1028	1094	1832	3560	406										
1028	15067	1832	3560	406										
1028	1832	3560	400	406										
1028	1821	1824	1825	1829	1832	3560								
1028	1825	1829	3560	3763	406									
1028	2434	3556	3560	406										
1028	15067	2079	2436	3560										
1028	1355	2436	3036	3131	3560									
1028	2436	3076	3131	3408	3560									
1028	1355	2436	3031	3076	3221	3560								
1028	1482	1829	2436	2710	3558	3560								
1028	2709	3560	488											
1028	1029	3560	5168											
1028	1825	1829	3560	5168										
1028	2281	3134	3221	3266	3558	3560								
1028	3031	3131	3268	3556	3560									
1028	3560	3763	4111											
1028	2356	3558	3560											
1094	1816	3560												
1817	2350	3560												
2079	3246	3248	3249	3560										
1029	2020	2436	3246	3560										
2436	3221	3246	3266	3560	5091									
1355	2078	2436	3221	3246	3560	5091								
1065	2079	2436	3030	3131	3246	3560								
2020	2436	3246	3560	646										
3246	3555	3556	3560	646										
1032	2078	2436	3560	5091										
1100	1822	1825	1826	2078	3560									
1832	2020	2078	3560											
1355	2078	3131	3560	406										
2078	3558	3560	488											
1840	3030	3031	3131	3560	441									
1824	1826	1827	1828	1829	1840	2353	3030	3560						
1824	1826	1829	2353	2424	3030	3555	3560							
1100	1465	1822	1826	1829	1840	3030	3031	3560	405	441				
1823	1825	1826	1829	2424	3030	3203	3267	3560						
1065	1465	1823	1825	1826	1829	3030	3203	3267	3560					
1823	1824	1826	1828	1829	3030	3555	3560							
1829	2436	2710	3030	3031	3560									
1100	1464	2281	3030	3560	443									
1100	1822	1826	2281	2424	3030	3031	3134	3560						
1823	1826	1828	2281	3030	3203	3267	3560							
1100	1464	1822	1828	2281	3030	3031	3134	3560						
1065	1100	1465	1822	1826	2281	3030	3031	3134	3221	3560	405			
1464	3030	3221	3249	3560										
134	1465	3030	3031	3134	3221	3268	3560							
1355	2020	2436	3134	3560										
3408	3555	3558	3560	743										
1464	3221	3248	3249	3266	3560									
1464	1828	2350	2353	3560	4268									
1464	1827	1829	2353	2424	3560	4269								
1482	2436	3558	3560	743										
3266	3558	3560	488	743										
134	2436	3036	3134	3558	3560									
1826	1840	2350	2353	2354	2424	3560								
2350	2356	3560	3763											
1822	1823	1824	1825	1840	1841	2367	3560							
1821	1823	1824	1825	1832	1841	2424	3560							
1822	1823	1824	1825	1826	1828	1840	1841	3560						
1821	1822	1824	1826	1827	1829	2424	3560	4268						
1821	1822	1823	1824	1825	1826	1827	1829	2424	3560					
1821	1823	1824	1825	1828	1829	1832	3560							
1821	1822	1824	1826	1827	1828	1829	3560	4269						
1821	1822	1824	1826	1827	1828	1829	2354	3560						
1029	1065	1826	3560											
1826	1840	2434	3560											
1823	3216	3560	4109											
1822	3559	3560	4268											
1832	2079	3560	645											
2434	2436	3130	3134	3560										
1832	3130	3250	3560											
1152	2434	3134	3560											
1355	2436	3076	3560	4109										
3131	3216	3266	3560											
1033	1065	1829	3560											
3270	33	3717	5092											
1817	33	3558	488											
1817	33	400												
1817	2027	3246	33	488										
1152	2027	2434	33											
1277	1356	1464	443											
1277	3250	3556	443											
1094	1277	2079	2436											
1277	1465	2436	3030	3221										
1277	2079	2436	400											
1277	2079	2436	3246	5091	646									
1277	2078	2436	3556	443	4562									
1277	2436	3076	3133	3556	646									
1277	2281	3076	3221	3246										
1356	3270	3717												
1816	1817	442												
1028	3266	3268	441	442										
1028	1482	2436	2709	442										
2436	3246	442	5091	646										
2025	2026	2027												
2025	2027	3206												
1463	2027	2435	3764											
1463	2027	3266												
1281	2027	3556	3764											
2027	2078	2436	3047	3221	3246									
2027	2079	2436	3131	3246	3556	646								
2027	2434	2436	5091											
2027	487	488												
1463	1482	2710	406											
1463	405	406												
1463	2710	3555												
1482	2436	2710	487											
11724	2352	487												
1281	2710	3248	3249											
1099	1281	3764	406											
2436	3036	3206	3558											
1841	3206	840												
1099	3032	3206	486											
3032	3206	646												
2078	3206	4108												
2078	2436	3130	3206											
2078	2436	2710	3206	443										
1279	2710	3076												
2436	3036	3133	3134	3558										
2436	3076	3133	3408	4109										
3130	3131	3132												
1841	2367	3132	488											
3763	3764	486	744											
1103	486	744												
2078	3248	3249	486											
1028	1065	1066	3203											
1066	1097	1816												
1065	1066	1071												
1820	1821	1822	1823	1824	1825	1826								
1032	444	6259												
3270	3717	444	5092											
3727	444	6259												
3764	406	5092												
2025	2079	2435	3764	645										
2025	2367	2435	3764											
134	3764	744												
2434	3556	3764	744											
3248	3249	5053												
5053	840	841	842											
1101	2352	4562	5053	842										
2352	2356	3727	4562	5053										
2352	3559	3727	4562	5053										
1071	443	840												
11724	2025	3270	840											
2435	645	8299												
1102	2709	8299												
1090	1091	1094	1096	4544										
3264	3267	3268												
1094	1096	1097	4544											
1153	1355	2079	2436											
1550	2435	3032	3717											
1071	1550	2079	2437											
1071	2079	3717	645											
3131	3270	3717	5092											
1832	2078	2435	3556											
1825	1840	2369												
1832	2078	3222												
1099	1100	1101												
3131	3270	3763												
3248	3249	3250	744											
743	744	745	746	747										
2351	743	744	746	747										
3030	3032	3047	3763											
1101	2352	4562	746	747	842									
3216	4107	4108	4109											
3047	4108	4109												
3038	746	747												
