1150	1245	6370							
1150	20422	2541	2543						
1245	1247	4865	5054						
1243	1245	1246	1247	4860	4864				
1243	1245	1246	4858	4860	4863	4864			
2937	4876	4877	4878						
1247	5054	634	987						
1176	2939	2940							
1173	1174	1175	1176						
1247	2261	4865							
1173	1247	4865	987						
2039	2040	2041	2042						
1246	1247	4533	4860						
1174	1307	1471	2548	2937	3590				
1174	1307	1471	1473	2548	2937	633			
1470	5103	6121							
1470	634	987							
2038	2541	987							
1173	1471	2038	2040	2041					
2548	3588	4858	633						
2040	2042	3588							
1469	1611	2262	2541	3588	632	755	904		
1469	2034	2262	2541	3588	632	755	904		
1175	1536	2034	2262	2443	2541	3588	632	755	904
3588	631	632	633						
3588	630	631	632						
1175	1536	1611	2262	2443	2541	2898	3588	755	904
1454	1455	1473							
1173	1307	1473	987						
1174	1307	1471	1473	2041	2548	633			
1173	1174	1454	1471	2040	2444	4049			
1535	630	631	634						
1307	633	634							
1306	1307	2548							
1174	1454	1471	2040	3590	4049				
1174	1454	1471	2041	2548	3590				
2896	2897	2939							
2895	2896	4695							
1455	1535	2549							
1455	1535	2541							
1455	1535	2942							
1177	1454	2040	2444	4049					
1454	2034	2040	4049						
1177	1536	2262	2443	755					
1665	2549	631							
2548	2549	631							
2898	4690	4691							
4876	4877	4878							
1536	2443	2444							
