2364	28	5320	809																					
1572	1768	2001	2002	2298	2299	28	3791	809																
1073	1075	1134	1768	1769	2001	2002	2298	2299	2319	2397	28	809	853											
1286	1845	1956	1971	2193	2315	2316	2319	2334	2445	28	3407	3657	718	809										
1768	1769	1845	1971	2002	2137	2193	2319	2398	28	3407	3857	3861	809	853										
17	1971	2002	2130	2193	2315	2319	2445	28	3407	3657	3857	3861	732	809										
1768	1769	2002	2298	2315	2316	2319	28	3407	3857	3932	809													
1286	1649	1650	1768	1769	1845	1956	2193	2319	2445	2490	2539	2780	28	3407	3850	3857	718	809						
1768	1769	1845	1956	2193	2299	2316	2319	2445	2490	2539	28	3407	3850	3857	718	809	853							
1072	1073	1075	1768	1769	1956	2002	2298	2299	2315	2319	2397	28	3407	3857	809	853								
17	1768	1769	1956	1971	2002	2193	2315	2316	2317	2318	2319	2445	28	3407	3850	3857	3861	809	853					
1072	1075	1768	1769	1956	2002	2298	2299	2315	2316	2317	2319	2737	28	3407	3791	3857	809	853						
1075	1286	1812	1845	1956	2316	2490	2539	28	3407															
1579	1768	1769	2299	2586	28	3022																		
1286	1649	1845	1956	2193	2445	2490	2539	2540	2582	2586	2780	28	3407	3444	3850	3857	718							
1073	1719	2002	2397																					
1134	1955	2001	2002	2397	853																			
1072	1074	1075	1134	1136	2298	2299	2397	2737	853															
1072	1078	2397	3194	966																				
1446	1719	2064	2397	3834																				
1718	1751	2064	2397																					
1075	1076	2397	2399																					
2397	2443	3530	3532	904																				
1076	1134	1446	2397	3834																				
1072	1076	1077	1078	1134	2396	2397	853	966																
1072	1077	1078	1134	1135	1136	2298	2299	2396	2397	2443	360	853												
1072	1073	1074	1075	1076	1077	1078	1134	1135	1136	2298	2299	2396	2397	2443	853									
1073	1076	1077	1078	1134	1135	1136	2001	2298	2299	2396	2397	2443	3103	853										
1076	1077	1078	1134	1135	2001	2298	2396	2397	2443	3103	3651	3798	853											
1073	1076	1077	1078	1134	1135	2001	2396	2397	3103	3834	632	853	904											
1073	1074	1075	1076	1077	1078	1134	1135	2001	2396	2397	3834	632	853											
1072	1075	1077	1134	1135	2298	2299	2397	2443	3854	853														
1076	1077	1719	2396	2397	966																			
1075	1076	1077	1078	1285	2396	2397																		
1072	1077	1078	2396	2397	2942	966																		
1074	1077	1078	2001	2397	3342	3834	632																	
1078	1574	2397	2572																					
1579	1711	183	200	20412	2398	3534	3730																	
1444	1575	1646	1845	1908	2001	211	2137	2334	2398	3861														
1444	1575	1845	1971	211	2130	2137	2193	2334	2398	2962	3657	3737	3861	732	838	95								
1845	1908	1971	2001	2002	2130	2137	2193	2334	2398	3657	3861	809												
1363	1574	1845	1971	211	2193	2334	2398	2962																
1076	1078	1574	1845	2193	2333	2398	362																	
1579	20412	2075	211	2366	2398	3026	32	3730	3734	633														
1575	1579	1711	1848	20412	211	2398	32	3730	633															
1579	1848	20412	2398	3026	32	3730	633	837																
2075	2366	2398	3657	809																				
1579	2075	211	2366	2398	2444	2714	3657																	
