1682	2390	2720										
1682	2390	2391	540									
1437	1558	1679	2720									
1550	2720	2814	3484	633								
1437	1558	2720	3492									
1682	2391	3491	3492									
1682	2391	2814	2858	540								
2391	2715	634										
1682	2814	3484	3491									
3781	540	633										
1558	2714	633										
1033	1558	633										
1028	2814	3484	3486	633								
2858	3730	4569	631	633	634							
1678	1680	3523	3525	3730	4569	633						
1678	1680	2858	3525	3730	4569	631	633					
1434	1680	2858	3525	3730	3782	4569	633					
1436	1437	4748										
1437	1679	2321	2728	3781								
17	2814	2858	3486	3525								
2321	2728	3484										
1028	3479	3484										
2714	2715	4569										
2036	2858	3491										
2718	2758	634										
2776	630	631	632	634								
1678	1681	2988										
17	2756	6121										
2812	2813	3781										
1556	1679	2321	2714	2728	3781							
1550	1677	2756										
1677	1680	2037	2776	3494	630							
1677	1680	1681	2777									
1676	1677	1678	1679	1680	1681							
1677	1678	1679	1680	2776	3478	3524	630	631				
1677	1679	1680	2321	2728	2776	3245	3522					
1677	1680	2728	2758	2776	3244	3245	3494	3522	3523	3524	4569	
1677	1680	2758	3524	3525	3730	3782	4569					
1677	1679	1680	2714	3525	3730	3782	4569					
1677	1680	1957	2035	2321	2728	2758	3245	3494	3525	3730	630	631
1677	1680	2035	2728	2758	3245	3494	3524	3525	3730	630	631	
1677	1679	1680	2714	2728	3244	3522	3525	3730	4569			
1677	1680	2035	2714	2728	3244	3525	3730					
1677	1678	1679	1680	2728	3244	3522	3523	3524	3525	3730	4569	
1677	1680	3245	3478	3494	3524	3525	4569	631				
1028	1677	1680	2728	2758	3494							
1677	17	2858	3525	4569								
1677	4569	7313										
1434	1680	1957	2035	2321	2728	3525	3730					
1434	1550	2815										
1028	1436	2713										
1028	1436	1556	3479									
1436	2758	2776	3493									
1436	1680	2758	2776	2858	631							
1957	2321	2716	631									
2716	2776	2858	631									
2036	3245	3730										
1676	3486	3730										
1028	1032	3486										
3486	4015	6370										
1028	1569	1571	632									
1680	2728	2776	3522	4569	632							
1569	1571	360	3730									
2776	3244	3478	539									
3730	3731	539										
2321	3537	3731										
1032	4568	4570										
2713	2725	2777	631									
1029	2725	2776	3537									
2776	3244	3245	3478	3479	3494	3522	3523	3524				
1665	1680	2728	630	631								
2725	2776	2777	3537	630	631							
1033	1679	2728	2776									
1508	2777	3525										
3520	3521	3537	3538									
1680	2776	3245	3524	3537	630	631						
2756	2757	2758	2759									
2775	2776	2777										
1438	2758	2776	3494									
4568	4569	4570	6131									
11267	4569	6131										
17	2726	2727										
2814	3525	3782										
3486	3525	6121										
