1453	2900	3894	591										
3965	485	547											
1356	2900	309	3777										
1307	2858	547	591										
2858	328	3894	591										
195	2858	3546	591										
1296	1297	1346	2858										
2858	3540	3556	3730	3896									
1346	2858	2900	3730										
17	2858	328	3540										
1296	1299	1307	3540	591									
1298	218	3560	547										
218	3560	438	485	547	904								
1231	1789	2902	310	3560	3894	3895	438	485	854	904			
2221	3556	3560	3586	3895	438	485	904						
1790	310	3558	3560	3731	438	904							
1355	1789	1790	310	3560	3731	438	904						
1231	1355	218	2221	2902	3330	3560	3586	3731	3894	3895	438	485	904
1231	1355	2221	2902	310	3560	3586	3731	3894	3895	438	485	904	
3560	3731	438	5168	904									
1790	2900	3560	3777	438									
195	3558	3560	438										
1297	1355	310	3560	3895	485	904							
1745	310	3559	3560	854									
1231	3555	3560											
309	310	3560	3894										
1231	218	2902	3560	3586	3587	3731	904						
1745	218	2902	3560	3894	3895	485	854	904					
1744	1745	1789	3560	3894	3895	485							
1745	1790	3558	3560	488									
1508	1745	310	3560	854									
1508	1745	3560	5168										
3541	3560	3777	3894										
3560	3777	856											
1346	20491	3540	591										
1306	591	858											
17803	1931	4271	4272										
327	328	4271	4272										
1153	1299	858											
1299	3730	4841											
1296	1297	1298	1299										
1039	1296	857											
328	3896	486											
1744	328	4841											
1744	1789	3730	3894	3895	438	485							
360	3730	3731	438										
2900	3730	486											
1038	327	3540											
1306	20491	3546	6028										
12978	1306	1931											
20491	220	6028											
219	220	4370											
17803	219	220											
218	219	220											
218	3895	438	858										
1745	3895	487	858										
192	193	2900											
192	3555	3558											
1790	3558	438	4841	488									
3895	438	4841	485	854									
309	3558	4841	905										
1508	2900	4841											
1040	3587	487											
1040	1789	2902	438										
1153	1355	3895	485										
2221	4369	4370											
854	855	856											
1297	2120	310											
2120	3541	3777											
3541	3777	486											
1788	1789	1790											
3560	3895	3896											
1790	3556	3777											
