1559	1800	885								
1566	2527	885								
1561	1568	3733								
1559	2828	3733	899							
3733	3734	3735								
11069	1566	2527	2829							
1173	1566	1568								
1563	1564	1565	1566	1567	1568					
1559	1560	1561	1562							
1559	3547	4506	697							
1568	1800	3257								
1800	2828	872								
1177	1568	3257	3737	723						
115	1561	1568	737							
1568	4506	737	900							
1568	896	899								
115	1174	1568	3734	4506	702	917				
1175	1560	1561								
115	1561	2886	722	917						
1567	2828	3547	872							
2376	2828	872								
2828	2829	900								
2828	517	701								
111	2828	899	902							
872	884	899								
115	1174	1618	1619	3734	4506	917				
115	1174	1618	3547	3734	4506	917				
115	2829	3734	702							
2886	3734	702	900	917						
1799	3734	900								
1798	2881	2882	3258	3735						
2373	2882	884								
2373	2882	3258	682							
2373	2374	2375	2882							
1562	1615	1616	1617	2374	2375	2529	2882	3830	736	871
109	1357	1511	1562	1615	1616	2124	2374	2882	3830	871
109	1511	1562	1616	2124	2527	2529	2882	3830	736	871
109	1357	1615	1616	2124	2374	2375	2882	3830	696	871
109	1616	2124	2375	2527	2529	2882	3830	696	736	871
1511	1615	1616	1617	2374	2529	2882	3830	696	736	871
2881	2882	4375								
1175	2882	3890								
4375	518	697								
696	697	884								
1618	697	736								
1798	3258	3735	872							
871	872	881	884							
115	3547	4506	872	902	917					
1173	1174	881								
1173	1620	4933	702							
1175	2829	4933	702							
2373	3883	902								
2373	3257	3258								
900	902	903	917							
14103	742	903								
739	741	742								
1798	3735	682	742							
1798	2881	3735	742							
115	1618	1619	1620	722						
1618	1619	2529	736							
115	1174	2880	2886	3932	722	917				
1173	1174	1175	1176							
111	112	113	114	115						
11069	1509	2527	2829							
1176	1357	2886								
2121	2122	701								
1562	2375	2376								
11069	2527	2529	736							
15016	2529	5306								
15016	2526	2527	2529	736						
2526	2527	2528	2529							
2526	2527	4871								
1176	1799	517								
14103	3887	4932								
2121	2880	3932	722							
3884	3885	3886	3887	3888	4932					
1174	1568	737								
